Category,Item
Organic Fresh Produce,Organic Apples
Baby Diapers,Pampers Diapers
Household Cleaning Supplies,Clorox Disinfecting Wipes
Personal Care Items,Dove Body Wash
Health Supplements,Vitamin D Tablets
Beverages,Starbucks Cold Brew Coffee
Ready-to-Eat Meals,Lean Cuisine Frozen Meals
Healthy Snacks,KIND Bars
Pet Food and Supplies,Purina Dog Chow
Home Office Supplies,HP Printer Ink
Fitness Equipment,Yoga Mat
Eco-Friendly Products,Reusable Grocery Bags
Seasonal Clothing,Winter Jackets
Books and Magazines,"""The New York Times"" Bestseller Books"
Smart Home Devices,Amazon Echo
Cooking Ingredients,Olive Oil
Beauty Products,L'Oreal Mascara
Health and Safety Products,Face Masks
Gardening Supplies,Miracle-Gro Plant Food
Entertainment Products,Nintendo Switch
